user_type,intent,domain_type,location_type,importance
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
crowdsource worker,browsing social media,Social Media,Residential Area,Somewhat Important
