Content Load,Page Load,Blocked,DNS,Connect,Send,Wait,Receive,Body Size Request,Body Size Response,Header Size Request,Header Size Response,Total Size Request,Total Size Response,Total HTTP Timings
CL09_6084_7536,PL08_7017_9947,0,0,0,0,4,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL08_4813_6084,PL07_5255_7017,6,0,0,0,414,43,0,28934,761,467,TRTS04_737_925,TRES09_27797_36658,THTTP03_412_626
CL09_6084_7536,PL08_7017_9947,0,0,0,0,10,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL09_6084_7536,PL08_7017_9947,3,0,0,0,906,28,0,29136,715,467,TRTS03_573_737,TRES09_27797_36658,THTTP05_859_1130
CL09_6084_7536,PL08_7017_9947,0,0,0,0,10,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL09_6084_7536,PL07_5255_7017,34,0,0,0,322,77,0,27070,725,467,TRTS03_573_737,TRES08_21342_27797,THTTP03_412_626
CL10_7536_up,PL08_7017_9947,0,0,0,0,189,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP02_177_412
CL10_7536_up,PL08_7017_9947,12,0,0,0,708,447,0,30540,767,467,TRTS04_737_925,TRES09_27797_36658,THTTP06_1130_1411
CL09_6084_7536,PL08_7017_9947,0,0,0,0,15,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL07_3812_4813,PL06_4071_5255,4,0,0,0,307,51,0,25803,756,467,TRTS04_737_925,TRES08_21342_27797,THTTP02_177_412
CL09_6084_7536,PL08_7017_9947,0,0,0,0,7,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL09_6084_7536,PL08_7017_9947,0,0,0,0,3,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP01_below_177
CL09_6084_7536,PL01_below_648,3,0,0,0,1018,626,0,23681,765,467,TRTS04_737_925,TRES08_21342_27797,THTTP07_1411_1740
CL09_6084_7536,PL08_7017_9947,0,0,0,0,195,0,0,0,664,192,TRTS03_573_737,TRES01_below_2559,THTTP02_177_412
CL08_4813_6084,PL01_below_648,35,0,0,0,519,126,0,29721,787,467,TRTS04_737_925,TRES09_27797_36658,THTTP04_626_859
CL10_7536_up,PL09_9947_14346,0,0,0,0,196,0,0,0,657,192,TRTS03_573_737,TRES01_below_2559,THTTP02_177_412
CL04_1833_2430,PL03_1691_2484,4,0,0,0,233,0,0,4552,558,637,TRTS02_426_573,TRES02_2559_6035,THTTP02_177_412
CL01_below_535,PL01_below_648,5,0,0,0,5,0,0,0,1358,0,TRTS06_1189_1486,TRES01_below_2559,THTTP01_below_177
CL08_4813_6084,PL07_5255_7017,27,0,0,0,1092,254,0,17154,1378,685,TRTS06_1189_1486,TRES07_17040_21342,THTTP06_1130_1411
CL05_2430_3062,PL04_2484_3223,657,0,0,0,255,259,0,38483,415,164,TRTS01_below_426,TRES10_36658_up,THTTP06_1130_1411
CL04_1833_2430,PL03_1691_2484,11,0,0,0,272,267,0,38473,379,164,TRTS01_below_426,TRES10_36658_up,THTTP03_412_626
CL08_4813_6084,PL09_9947_14346,154,0,0,0,1751,0,0,12902,1490,497,TRTS07_1486_1724,TRES05_12576_14735,THTTP08_1740_2111
CL07_3812_4813,PL08_7017_9947,4,0,0,0,1509,0,0,12858,574,453,TRTS03_573_737,TRES05_12576_14735,THTTP07_1411_1740
CL04_1833_2430,PL04_2484_3223,7,0,0,0,222,0,0,0,520,515,TRTS02_426_573,TRES01_below_2559,THTTP02_177_412
CL10_7536_up,PL09_9947_14346,8,0,0,1,479,6,1848,321,2210,669,TRTS10_3101_up,TRES01_below_2559,THTTP03_412_626
CL08_4813_6084,PL07_5255_7017,430,0,0,0,184,177,0,21379,295,495,TRTS01_below_426,TRES08_21342_27797,THTTP04_626_859
