CallCnt,ScreenCnt,AppCnt,BatteryValue
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT01_below_13
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
CALLS1_below_0,SCREEN05_12_18,APPS01_below_19,BATT08_68_80
